
[6, 36, 11, 5, 7, 9, 10, 1111, 13, 145]
[6, 36, 5, 11, 7, 9, 10, 1111, 13, 145]
[6, 36, 5, 7, 11, 9, 10, 1111, 13, 145]
[6, 36, 5, 7, 9, 11, 10, 1111, 13, 145]
[6, 36, 5, 7, 9, 10, 11, 1111, 13, 145]
[6, 5, 36, 7, 9, 10, 11, 1111, 13, 145]
[6, 5, 7, 36, 9, 10, 11, 1111, 13, 145]
[6, 5, 7, 9, 36, 10, 11, 1111, 13, 145]
[6, 5, 7, 9, 10, 36, 11, 1111, 13, 145]
[6, 5, 7, 9, 10, 11, 36, 1111, 13, 145]
[6, 5, 7, 9, 10, 11, 13, 1111, 36, 145]
[6, 5, 7, 9, 10, 11, 13, 36, 1111, 145]
[6, 5, 7, 9, 10, 11, 13, 36, 145, 1111]
